,Suburbs,Country,Lat,Lng
194,Botanic Ridge,AU,-38.1414,145.2566
195,Boundary Bend,N/A,N/A,N/A
196,Bowenvale,AU,-37,143.7167
197,Boweya,AU,-36.2667,146.1333
198,Boweya North,N/A,N/A,N/A
199,Bowser,AU,-36.3183,146.3663
200,Box Hill,AU,-37.8189,145.1254
201,Box Hill North,AU,-37.8027,145.1266
202,Box Hill South,AU,-37.8324,145.121
203,Braeside,AU,-37.9995,145.1163
204,Brandy Creek,AU,-38.1,145.9
205,Branxholme,AU,-37.8667,141.8
206,Braybrook,AU,-37.7867,144.8548
207,Breakaway Creek,N/A,N/A,N/A
208,Breakwater,N/A,N/A,N/A
209,Breamlea,N/A,N/A,N/A
210,Brenanah,AU,-36.5474,143.7364
211,Briagolong,AU,-37.85,147.0667
212,Briar Hill,AU,-37.7064,145.1216
213,Bridgewater,AU,-42.7333,147.2333
214,Bridgewater On Loddon,N/A,N/A,N/A
215,Bright,AU,-36.75,146.9667
216,Brighton,N/A,N/A,N/A
217,Brighton East,AU,-37.9014,145.0188
218,Brim,AU,-36.0833,142.4167
219,Brimin,AU,-36.05,146.2333
220,Brimpaen,AU,-37.0333,142.2
221,Broadford,AU,-37.2,145.0667
222,Broadmeadows,AU,-37.6801,144.9188
223,Broadwater,AU,-38.1253,142.0497
224,Brodribb River,N/A,N/A,N/A
225,Bromley,AU,-36.8809,143.7567
226,Brookfield,AU,-37.7008,144.5603
227,Brooklyn,AU,-33.5482,151.2177
228,Broomfield,AU,-37.3859,143.9112
229,Brown Hill,AU,-37.5526,143.9012
230,Browns Plains,AU,-27.65,153.0333
231,Bruarong,AU,-36.4167,146.85
232,Brucknell,AU,-38.45,142.9333
233,Brunswick,AU,-37.7667,144.9667
234,Brunswick East,AU,-37.7689,144.9777
235,Brunswick West,AU,-37.7633,144.9426
236,Bruthen,AU,-37.7167,147.8167
237,Buangor,AU,-37.3667,143.1667
238,Buchan,AU,-37.5,148.1833
239,Buchan South,AU,-37.5667,148.1167
240,Buckland,AU,-42.6,147.7167
241,Buckley,AU,-38.2333,144.1
242,Buffalo,N/A,N/A,N/A
243,Buffalo River,AU,-36.6333,146.6833
244,Bulga,AU,-32.6667,151.0167
245,Bulla,AU,-37.6333,144.8
246,Bullarook,N/A,N/A,N/A
247,Bullarto,AU,-37.4,144.2333
248,Bulleen,AU,-37.7667,145.0833
249,Bullengarook,AU,-37.5167,144.4833
250,Bullumwaal,AU,-37.6333,147.5333
251,Buln Buln,AU,-38.1,145.9333
252,Bumberrah,N/A,N/A,N/A
253,Bunbartha,N/A,N/A,N/A
254,Bundalaguah,AU,-38.0333,147.0167
255,Bundalong,AU,-36.0333,146.1667
256,Bundalong South,N/A,N/A,N/A
257,Bundoora,AU,-37.6982,145.0597
258,Bungalally,AU,-36.8,142.25
259,Bungaree,AU,-37.5667,144
260,Bungeet,AU,-36.3,146.05
261,Bungil,AU,-36.0667,147.35
262,Buninyong,AU,-37.6667,143.9167
263,Bunkers Hill,AU,-31.565,151.1344
264,Bunyip,AU,-38.1,145.7167
265,Burkes Flat,N/A,N/A,N/A
266,Burnewang,N/A,N/A,N/A
267,Burnley,AU,-37.8296,145.0175
268,Burnside,AU,-34.9333,138.65
269,Burnside Heights,AU,-37.7324,144.7556
270,Burramine,N/A,N/A,N/A
271,Burrumbeet,AU,-37.4703,143.6548
272,Burwood,AU,-37.8498,145.119
273,Burwood East,AU,-37.8536,145.1504
274,Bushfield,AU,-38.3333,142.5167
275,Buxton,AU,-34.25,150.5333
276,Byaduk,AU,-37.9523,141.9552
277,Byaduk North,N/A,N/A,N/A
278,Byawatha,N/A,N/A,N/A
279,Bylands,AU,-37.35,144.9667
280,Byrneside,AU,-36.4167,145.1833
281,Cabarita,AU,-33.8475,151.1159
282,Cabbage Tree Creek,AU,-37.6984,148.7204
283,Cairnlea,AU,-37.7593,144.7878
284,Calder Park,AU,-37.6763,144.7611
285,Caldermeade,AU,-38.25,145.5333
286,California Gully,AU,-36.7302,144.2634
287,Callignee,AU,-38.3333,146.5833
288,Callignee North,N/A,N/A,N/A
289,Calulu,N/A,N/A,N/A
290,Camberwell,AU,-37.842,145.0694
291,Cambrian Hill,AU,-37.6333,143.8333
292,Campbellfield,AU,-37.6833,144.95
293,Campbells Bridge,AU,-36.9142,142.7832
294,Campbells Creek,N/A,N/A,N/A
295,Campbells Forest,AU,-36.6145,144.1426
296,Campbelltown,AU,-34.0667,150.8167
297,Camperdown,AU,-33.8896,151.1764
298,Canadian,AU,-37.5761,143.8774
299,Cann River,AU,-37.5667,149.1667
300,Cannons Creek,AU,-38.2115,145.3113
301,Canterbury,AU,-37.8247,145.0848
302,Cape Clear,AU,-37.7833,143.6167
303,Cape Paterson,N/A,N/A,N/A
304,Cape Schanck,N/A,N/A,N/A
305,Cape Woolamai,AU,-38.5313,145.3358
306,Capels Crossing,N/A,N/A,N/A
307,Carag Carag,AU,-36.4667,144.9167
308,Caramut,AU,-37.95,142.5167
309,Carapooee,AU,-36.7,143.3333
310,Carapooee West,N/A,N/A,N/A
311,Carapook,N/A,N/A,N/A
312,Cardigan,AU,-37.5333,143.75
313,Cardigan Village,N/A,N/A,N/A
314,Cardinia,AU,-38.15,145.4167
315,Cardross,N/A,N/A,N/A
316,Caringal,N/A,N/A,N/A
317,Carisbrook,AU,-37.0333,143.8167
318,Carlisle River,AU,-38.5667,143.3833
319,Carlsruhe,AU,-37.2833,144.5
320,Carlton,AU,-33.9708,151.1214
321,Carlton North,AU,-37.7846,144.9729
322,Carlyle,N/A,N/A,N/A
323,Carnegie,AU,-37.8887,145.0571
324,Carngham,AU,-37.5833,143.5833
325,Caroline Springs,AU,-37.7412,144.7363
326,Carpendeit,AU,-38.3833,143.2667
327,Carrajung,AU,-38.3667,146.6833
328,Carrajung Lower,AU,-38.4,146.7333
329,Carranballac,AU,-37.6972,143.1615
330,Carrum,AU,-38.0833,145.1333
331,Carrum Downs,AU,-38.1,145.1833
332,Carwarp,AU,-34.4571,142.1973
333,Cashmore,AU,-38.3167,141.4833
334,Castella,AU,-37.5167,145.4333
335,Casterton,AU,-37.5833,141.4
336,Castle Donnington,N/A,N/A,N/A
337,Castlemaine,AU,-37.0667,144.2167
338,Catani,AU,-38.2,145.6333
339,Cathkin,N/A,N/A,N/A
340,Caulfield,AU,-37.8825,145.0229
341,Caulfield East,AU,-37.8813,145.0421
342,Caulfield North,AU,-37.8726,145.0226
343,Caulfield South,AU,-37.8967,145.0273
344,Cavendish,AU,-37.5167,142.0333
345,Ceres,AU,-38.1667,144.2667
346,Chadstone,AU,-37.8877,145.0952
347,Chapple Vale,N/A,N/A,N/A
348,Charlemont,N/A,N/A,N/A
349,Charleroi,N/A,N/A,N/A
350,Charlton,AU,-36.2667,143.35
351,Chelsea,AU,-38.05,145.1167
352,Chelsea Heights,AU,-38.0333,145.1333
353,Cheltenham,AU,-34.8667,138.5167
354,Cheshunt,AU,-36.8,146.4333
355,Chetwynd,AU,-37.2833,141.4167
356,Chewton,AU,-37.0833,144.2667
357,Childers,AU,-38.3,146.1167
358,Chiltern,AU,-36.1667,146.6167
359,Chirnside Park,AU,-37.7386,145.3143
360,Chocolyn,AU,-38.1948,143.194
361,Christmas Hills,AU,-37.65,145.3333
362,Chum Creek,N/A,N/A,N/A
363,Churchill,AU,-27.6423,152.7502
364,Clarendon,AU,-35.1167,138.6333
365,Clarinda,AU,-37.9431,145.106
366,Clarkefield,AU,-37.4833,144.75
367,Clarkes Hill,N/A,N/A,N/A
368,Clayton,AU,-37.9173,145.1304
369,Clayton South,AU,-37.9431,145.1252
370,Clematis,AU,-37.9333,145.4167
371,Clifton Creek,N/A,N/A,N/A
372,Clifton Hill,AU,-37.7904,144.9975
373,Clifton Springs,AU,-38.15,144.5667
374,Clonbinane,N/A,N/A,N/A
375,Cloverlea,AU,-38.2333,146
376,Club Terrace,AU,-37.5333,148.95
377,Clunes,AU,-37.3,143.7833
378,Clyde,AU,-38.1333,145.3333
379,Clyde North,AU,-38.1167,145.3333
380,Clydesdale,AU,-37.1833,144.1
381,Cobains,N/A,N/A,N/A
382,Cobaw,AU,-37.2667,144.6333
383,Cobden,AU,-38.3333,143.0667
384,Cobram,AU,-35.9167,145.65
385,Cobram East,N/A,N/A,N/A
386,Cobrico,AU,-38.3,143.0333
387,Coburg,AU,-37.75,144.9667
388,Coburg North,AU,-37.7244,144.9676
389,Cochranes Creek,N/A,N/A,N/A
390,Cockatoo,AU,-37.9333,145.5
391,Cocoroc,AU,-37.9749,144.6287
392,Codrington,AU,-38.2667,141.9667
393,Cohuna,AU,-35.8,144.2
394,Coimadai,AU,-37.6167,144.4667
395,Colac,AU,-38.3333,143.5833
396,Colac Colac,N/A,N/A,N/A
397,Colac East,N/A,N/A,N/A
398,Colac West,N/A,N/A,N/A
399,Coldstream,AU,-37.7167,145.3667
400,Coleraine,AU,-37.6,141.7
401,Colignan,AU,-34.55,142.3833
402,Collingwood,AU,-37.8,144.9833
403,Concongella,N/A,N/A,N/A
404,Condah,AU,-37.95,141.75
405,Congupna,AU,-36.3005,145.4332
406,Connewarre,AU,-38.2667,144.4
407,Coolaroo,AU,-37.6568,144.9346
408,Cooma,AU,-36.2333,149.1333
409,Coomboona,N/A,N/A,N/A
410,Coomoora,AU,-37.3312,144.1795
411,Cora Lynn,AU,-38.15,145.6
412,Coragulac,N/A,N/A,N/A
413,Corindhap,AU,-37.8776,143.7387
414,Corinella,AU,-38.4146,145.4312
415,Corio,AU,-38.0833,144.3833
416,Cornella,AU,-36.7,144.75
417,Cornishtown,N/A,N/A,N/A
418,Coronet Bay,AU,-38.4377,145.4363
419,Corop,AU,-36.4667,144.8
420,Cororooke,AU,-38.2833,143.5167
421,Corringle,N/A,N/A,N/A
422,Corryong,AU,-36.2,147.8833
423,Corunnun,N/A,N/A,N/A
424,Cosgrove,AU,-36.35,145.6667
425,Costerfield,N/A,N/A,N/A
426,Cottles Bridge,AU,-37.6333,145.2167
427,Cowes,AU,-38.45,145.2333
428,Cowwarr,AU,-38.0167,146.6833
429,Craigie,AU,-31.7816,115.7711
430,Craigieburn,AU,-37.6,144.95
431,Cranbourne,AU,-38.1,145.2833
432,Cranbourne East,AU,-38.1081,145.3056
433,Cranbourne North,AU,-38.0775,145.2989
434,Cranbourne South,N/A,N/A,N/A
435,Cranbourne West,AU,-38.1022,145.2517
436,Creek Junction,N/A,N/A,N/A
437,Cremorne,AU,-33.8333,151.225
438,Cressy,AU,-41.6833,147.0667
439,Creswick,AU,-37.4167,143.9167
440,Crib Point,AU,-38.35,145.2
441,Crossley,AU,-38.3,142.3333
442,Crossover,AU,-38.05,145.9667
443,Croydon,AU,-33.8833,151.1167
444,Croydon Hills,AU,-37.776,145.2671
445,Croydon North,AU,-37.7833,145.3
446,Croydon South,AU,-37.815,145.2736
447,Culgoa,AU,-35.7167,143.0833
448,Cullulleraine,N/A,N/A,N/A
449,Curdies River,N/A,N/A,N/A
450,Curlewis,AU,-38.1833,144.4833
451,Dadswells Bridge,AU,-36.9178,142.5133
452,Daisy Hill,AU,-27.6436,153.1538
453,Dales Creek,AU,-37.5219,144.3032
454,Dallas,AU,-37.6708,144.9354
455,Dalmore,AU,-38.1833,145.4167
456,Daltons Bridge,N/A,N/A,N/A
457,Dalyston,AU,-38.5667,145.55
458,Dandenong,AU,-37.9875,145.2148
459,Dandenong North,AU,-37.9558,145.2143
460,Dandenong South,AU,-38.028,145.2209
461,Dargo,N/A,N/A,N/A
462,Darley,AU,-37.6377,144.4263
463,Darlington,AU,-31.9167,116.0833
464,Darnum,AU,-38.1833,146.0167
465,Darraweit Guim,AU,-37.4019,144.894
466,Dartmoor,AU,-37.9225,141.2767
467,Dartmouth,N/A,N/A,N/A
468,Daylesford,AU,-37.35,144.15
469,Deans Marsh,AU,-38.4,143.8667
470,Dederang,AU,-36.4833,147.0167
471,Deep Lead,AU,-37.0167,142.7333
472,Deepdene,AU,-37.8121,145.0664
473,Deer Park,AU,-37.7667,144.7833
474,Delacombe,AU,-37.5891,143.8147
475,Delahey,AU,-37.7198,144.7773
476,Delatite,N/A,N/A,N/A
477,Denison,AU,-38.0333,146.8833
478,Dennington,AU,-38.3667,142.45
479,Denver,AU,-37.2667,144.3
480,Dereel,AU,-37.8167,143.7667
481,Derrimut,AU,-37.8167,144.7333
482,Derrinal,AU,-36.8833,144.6333
483,Derrinallum,AU,-37.95,143.2167
484,Devenish,AU,-36.3333,145.9
485,Devils River,N/A,N/A,N/A
486,Devon Meadows,AU,-38.1667,145.3
487,Devon North,N/A,N/A,N/A
488,Dewhurst,N/A,N/A,N/A
489,Dhurringile,N/A,N/A,N/A
490,Diamond Creek,AU,-37.6667,145.15
491,Digby,AU,-37.8,141.5333
492,Diggers Rest,AU,-37.6333,144.7333
493,Dimboola,AU,-36.4667,142.05
494,Dingee,AU,-36.3699,144.2326
495,Dingley Village,AU,-37.9827,145.1342
496,Dingwall,AU,-35.8,143.85
