Local Government Area,Country,Lat,Lng
Grand Ridge,N/A,N/A,N/A
Granite Rock,N/A,N/A,N/A
Grantville,AU,-38.4074,145.5319
Granya,AU,-36.1167,147.3167
Grassdale,N/A,N/A,N/A
Grassmere,AU,-38.2833,142.5333
Graytown,AU,-36.8167,144.95
Gre Gre,N/A,N/A,N/A
Great Western,AU,-37.15,142.85
Green Gully,AU,-32.79,149.6761
Greendale,AU,-37.5667,144.3167
Greenhill,AU,-31.0667,152.8
Greensborough,AU,-37.7046,145.103
Greenvale,AU,-37.6333,144.8667
Greenwald,AU,-37.9667,141.3667
Greta South,AU,-36.6167,146.25
Greta West,AU,-36.5333,146.2167
Grovedale,AU,-38.2,144.35
Gruyere,AU,-37.7333,145.45
Guildford,AU,-31.9,115.9667
Gunbower,AU,-35.95,144.3667
Gundowring,AU,-36.4333,147.05
Guys Forest,N/A,N/A,N/A
Guys Hill,N/A,N/A,N/A
Haddon,AU,-37.6,143.7167
Hadfield,AU,-37.7102,144.9503
Hallam,AU,-38.0167,145.2667
Hallora,AU,-38.2667,145.8333
Halls Gap,AU,-37.1391,142.5193
Hallston,AU,-38.3667,146.0333
Hamilton,AU,-37.7443,142.022
Hamlyn Heights,AU,-38.1211,144.324
Hampton,AU,-37.9372,145.0046
Hampton East,AU,-37.937,145.0286
Hampton Park,AU,-38.0333,145.25
Harcourt,AU,-37,144.25
Harcourt North,N/A,N/A,N/A
Harkaway,AU,-38,145.35
Harrietville,AU,-36.9167,147.0667
Harrow,AU,-37.1655,141.5922
Harston,AU,-36.4667,145.15
Hastings,AU,-38.3,145.1833
Hattah,N/A,N/A,N/A
Havelock,N/A,N/A,N/A
Haven,N/A,N/A,N/A
Hawthorn,AU,-37.8199,145.0358
Hawthorn East,AU,-37.8248,145.0464
Hazelwood,AU,-38.2833,146.35
Hazelwood North,N/A,N/A,N/A
Healesville,AU,-37.65,145.5167
Heathcote,AU,-34.0833,151.0167
Heathcote Junction,AU,-37.35,145.0333
Heathcote South,N/A,N/A,N/A
Heatherton,AU,-37.9561,145.0932
Heathmere,AU,-38.2167,141.6167
Heathmont,AU,-37.8333,145.25
Hedley,AU,-38.6333,146.5
Heidelberg,AU,-37.75,145.0667
Heidelberg Heights,AU,-37.7452,145.0529
Heidelberg West,AU,-37.7382,145.0434
Hepburn,AU,-37.3167,144.1333
Hepburn Springs,AU,-37.3163,144.1379
Herne Hill,AU,-31.8333,116.0167
Hernes Oak,N/A,N/A,N/A
Hesket,AU,-37.35,144.65
Hexham,AU,-32.8317,151.6844
Heyfield,AU,-37.9813,146.7856
Heytesbury Lower,N/A,N/A,N/A
Heywood,AU,-38.1333,141.6333
High Camp,AU,-37.1833,144.9
Highett,AU,-37.9517,145.0394
Highton,AU,-38.1709,144.319
Hill End,AU,-33.0317,149.4178
Hillcrest,AU,-41.0633,145.898
Hilldene,AU,-37.0333,145.0667
Hillside,AU,-37.6905,144.7417
Hoddles Creek,AU,-37.8333,145.5833
Hollands Landing,AU,-38.0539,147.4605
Hopetoun,AU,-35.7333,142.3667
Hopetoun Park,AU,-37.695,144.5016
Hoppers Crossing,AU,-37.8826,144.7003
Horfield,N/A,N/A,N/A
Horsham,AU,-36.7167,142.2
Hotspur,AU,-37.9333,141.5667
Howqua,AU,-37.2333,146.1167
Howqua Inlet,AU,-37.2236,146.1346
Hughesdale,AU,-37.8995,145.0812
Humevale,AU,-37.5,145.1667
Huntingdale,AU,-32.0775,115.962
Huntly,AU,-36.6667,144.3333
Huon,AU,-36.2333,147.0667
Hurstbridge,AU,-37.65,145.2167
Icy Creek,AU,-37.8763,146.0961
Illawarra,AU,-37.0667,142.7
Illowa,AU,-38.3333,142.4167
Indented Head,N/A,N/A,N/A
Indigo Valley,N/A,N/A,N/A
Inglewood,AU,-36.5833,143.8667
Invergordon,AU,-36.1667,145.5833
Inverleigh,AU,-38.1,144.05
Inverloch,AU,-38.6333,145.7167
Invermay,AU,-41.3917,147.1306
Invermay Park,AU,-37.5293,143.8591
Iona,AU,-38.1333,145.6833
Iraak,N/A,N/A,N/A
Ironbark,AU,-36.7559,144.2669
Irrewarra,N/A,N/A,N/A
Irrewillipe,AU,-38.4,143.4167
Irrewillipe East,N/A,N/A,N/A
Irymple,AU,-34.25,142.1667
Ivanhoe,AU,-37.769,145.0431
Ivanhoe East,AU,-37.7734,145.0618
Jacana,AU,-37.6877,144.9112
Jackass Flat,AU,-36.7219,144.2851
Jacob Creek,N/A,N/A,N/A
Jam Jerrup,AU,-38.3235,145.5181
Jamieson,AU,-37.3167,146.1333
Jan Juc,N/A,N/A,N/A
Jancourt,AU,-38.3667,143.1
Jancourt East,N/A,N/A,N/A
Jarrahmond,N/A,N/A,N/A
Jarvis Creek,N/A,N/A,N/A
Jeeralang,AU,-38.4,146.4667
Jeeralang Junction,AU,-38.3333,146.4167
Jeetho,AU,-38.3833,145.7167
Jeffcott North,N/A,N/A,N/A
Jeparit,AU,-36.15,141.9833
Jindivick,AU,-38.0333,145.9
Johnsonville,AU,-37.8167,147.8
Junction Village,AU,-38.1363,145.2969
Jung,AU,-36.6167,142.3667
Junortoun,AU,-36.774,144.3802
Kaarimba,N/A,N/A,N/A
Kalimna,N/A,N/A,N/A
Kalimna West,AU,-37.8603,147.9505
Kalkallo,AU,-37.5333,144.95
Kalkee,N/A,N/A,N/A
Kallista,AU,-37.8833,145.3667
Kalorama,AU,-37.8167,145.3667
Kamarooka,AU,-36.4667,144.3333
Kancoona,AU,-36.5833,146.9833
Kangaroo Flat,AU,-36.8,144.25
Kangaroo Ground,AU,-32.6483,149.2511
Kaniva,AU,-36.3833,141.25
Kanumbra,AU,-37.05,145.6667
Kanyapella,N/A,N/A,N/A
Kardella South,AU,-38.45,145.8833
Katamatite,AU,-36.0833,145.7
Katandra West,AU,-36.2276,145.5592
Katunga,AU,-36.0167,145.4667
Kawarren,AU,-38.4833,143.5833
Kealba,AU,-37.7371,144.8283
Keely,AU,-35.85,144.25
Keilor,AU,-37.7167,144.8333
Keilor Downs,AU,-37.7206,144.8048
Keilor East,AU,-37.7384,144.8561
Keilor Lodge,AU,-37.6984,144.7998
Keilor North,AU,-37.6816,144.793
Keilor Park,AU,-37.7187,144.8502
Kellalac,N/A,N/A,N/A
Kennett River,N/A,N/A,N/A
Kennington,AU,-36.7833,144.3
Kensington,AU,-33.9167,151.2167
Kerang,AU,-35.7333,143.9167
Kerang East,N/A,N/A,N/A
Kergunyah,AU,-36.3833,147.05
Kerrie,N/A,N/A,N/A
Kerrisdale,N/A,N/A,N/A
Kevington,AU,-37.359,146.1613
Kew,AU,-37.8034,145.0333
Kew East,AU,-37.7976,145.0538
Keysborough,AU,-37.9912,145.1738
Kialla,AU,-36.4161,145.3954
Kialla East,AU,-36.45,145.5333
Kialla West,AU,-36.6333,145.3833
Kiata,AU,-36.3629,141.7921
Kiewa,AU,-36.2667,147.0167
Kilcunda,AU,-38.55,145.4833
Killara,AU,-33.7661,151.1601
Killarney,AU,-28.3333,152.3
Killawarra,AU,-36.25,146.25
Kilmany,AU,-38.1,146.9
Kilmore,AU,-37.3,144.95
Kilmore East,AU,-37.3,144.9833
Kilsyth,AU,-37.8,145.3167
Kilsyth South,AU,-37.8315,145.311
Kimbolton,N/A,N/A,N/A
King Valley,N/A,N/A,N/A
Kinglake,AU,-37.5327,145.3411
Kinglake Central,AU,-37.5,145.3
Kinglake West,AU,-37.4667,145.2333
Kingower,AU,-36.6167,143.75
Kings Park,AU,-33.7433,150.9086
Kingsbury,AU,-37.7156,145.0356
Kingston,AU,-42.9667,147.3167
Kingsville,AU,-37.8089,144.8794
Kirkstall,AU,-38.2667,142.3167
Knockwood,N/A,N/A,N/A
Knowsley,AU,-36.8266,144.5866
Knoxfield,AU,-37.8898,145.2496
Koetong,AU,-36.15,147.5
Kongwak,AU,-38.5167,145.7
Koo Wee Rup,AU,-38.1991,145.4929
Koondrook,AU,-35.65,144.1167
Koonoomoo,AU,-35.8881,145.5748
Koonwarra,AU,-38.55,145.95
Kooreh,N/A,N/A,N/A
Koorlong,AU,-34.2833,142.0833
Koornalla,AU,-38.3167,146.5333
Koorooman,N/A,N/A,N/A
Kooyong,AU,-37.8399,145.0352
Koriella,N/A,N/A,N/A
Koroit,AU,-38.3,142.3667
Korong Vale,AU,-36.3559,143.7039
Korumburra,AU,-38.4333,145.8167
Korumburra South,AU,-38.4667,145.85
Korweinguboora,AU,-37.45,144.1333
Kotta,AU,-36.2,144.5333
Kotupna,AU,-36.15,145.15
Koyuga,AU,-36.2167,144.9
Krowera,AU,-38.4333,145.6667
Kurting,N/A,N/A,N/A
Kurunjang,AU,-37.6759,144.5969
Kyabram,AU,-36.3167,145.05
Kyabram South,N/A,N/A,N/A
Kyneton,AU,-37.25,144.4333
Kyvalley,N/A,N/A,N/A
Laanecoorie,AU,-36.8167,143.9
Labertouche,AU,-38.05,145.8
Laceby,AU,-36.4333,146.3
Ladys Pass,N/A,N/A,N/A
Lah,N/A,N/A,N/A
Laharum,N/A,N/A,N/A
Lake Boga,AU,-35.4667,143.65
Lake Bolac,AU,-37.7,142.85
Lake Bunga,N/A,N/A,N/A
Lake Eildon,N/A,N/A,N/A
Lake Gardens,AU,-37.5448,143.8158
Lake Lonsdale,N/A,N/A,N/A
Lake Mundi,N/A,N/A,N/A
Lake Powell,N/A,N/A,N/A
Lake Rowan,AU,-36.2667,145.9667
Lake Tyers,AU,-37.85,148.0667
Lake Tyers Beach,AU,-37.858,148.0831
Lake Wendouree,AU,-37.5502,143.834
Lakes Entrance,AU,-37.8811,147.981
Lal Lal,AU,-37.676,144.0128
Lalbert,AU,-35.6833,143.3667
Lalor,AU,-37.6667,145.0167
Lamplough,AU,-37.1333,143.5167
Lancaster,AU,-36.3132,145.1317
Lancefield,AU,-37.2763,144.734
Landsborough,AU,-37.0167,143.15
Lang Lang,AU,-38.2667,145.5667
Langi Kal Kal,AU,-37.4055,143.4867
Langkoop,AU,-37.1,141.0333
Langley,N/A,N/A,N/A
Langsborough,N/A,N/A,N/A
Langwarrin,AU,-38.1667,145.1667
Langwarrin South,AU,-38.1891,145.1911
Lara,AU,-38.0167,144.4
Lardner,AU,-38.2,145.8667
Larpent,AU,-38.35,143.5
Lascelles,AU,-35.6167,142.5833
Launching Place,AU,-37.7807,145.5692
Lauriston,AU,-37.25,144.3833
Lavers Hill,AU,-38.6667,143.4
Laverton,AU,-37.862,144.7698
Laverton North,AU,-37.8301,144.7869
Lawloit,N/A,N/A,N/A
Learmonth,AU,-22.25,114.0833
Ledcourt,N/A,N/A,N/A
Leigh Creek,AU,-30.4833,138.4167
Leitchville,AU,-35.9,144.2833
Lemnos,AU,-36.35,145.4667
Leneva,AU,-36.2167,146.9
Leongatha,AU,-38.4833,145.95
Leongatha North,N/A,N/A,N/A
Leongatha South,N/A,N/A,N/A
Leopold,AU,-38.1833,144.4667
Lerderderg,N/A,N/A,N/A
Leslie Manor,AU,-38.1333,143.3833
Lethbridge,AU,-37.9672,144.1331
Lexton,AU,-37.2667,143.5167
Licola,AU,-37.6333,146.6167
Licola North,AU,-37.5195,146.5505
Lillimur,AU,-36.3625,141.1276
Lilliput,N/A,N/A,N/A
Lilydale,AU,-37.75,145.35
Lindenow,AU,-37.8,147.4833
Lindenow South,AU,-37.8167,147.4333
Lindsay Point,N/A,N/A,N/A
Linton,AU,-37.6833,143.5667
Lismore,AU,-28.8135,153.2773
Litchfield,AU,-36.3,142.8667
Little River,AU,-37.9667,144.5
Loch,AU,-38.3667,145.7
Loch Sport,AU,-38.0447,147.5867
Loch Valley,AU,-37.8333,146
Lockington,AU,-36.2667,144.5333
Locksley,AU,-36.8333,145.3333
Lockwood,AU,-36.8333,144.15
Lockwood South,AU,-36.8385,144.156
Logan,AU,-36.6167,143.4667
Long Forest,N/A,N/A,N/A
Long Gully,AU,-36.741,144.2584
Longford,AU,-41.6,147.1167
Longlea,AU,-36.7833,144.4333
Longwarry,AU,-38.1,145.7667
Longwarry North,AU,-38.0833,145.7667
Longwood,AU,-35.0449,138.7274
Longwood East,N/A,N/A,N/A
Lorne,AU,-38.55,143.9667
Lovely Banks,AU,-38.0667,144.3333
Lower Plenty,AU,-37.7333,145.1167
Lucas,AU,-37.5522,143.7697
Lucknow,AU,-33.346,149.1621
Lynbrook,AU,-38.0559,145.2561
Lyndhurst,AU,-30.2833,138.35
Lyons,AU,-35.3406,149.0739
Lyonville,AU,-37.3833,144.2667
Lysterfield,AU,-37.9333,145.3
Lysterfield South,AU,-37.9525,145.2669
Macarthur,AU,-35.4086,149.132
Macclesfield,AU,-35.1833,138.8333
Macedon,AU,-37.4167,144.5667
Macleod,AU,-37.7204,145.0698
Macorna,AU,-35.9,144.0167
Macs Cove,N/A,N/A,N/A
Maddingley,AU,-37.6852,144.4324
Mafeking,N/A,N/A,N/A
Maffra,AU,-37.9667,146.9833
Maffra West Upper,AU,-37.9,146.85
Magpie,AU,-37.6167,143.85
Maiden Gully,AU,-36.7427,144.2005
Maidstone,AU,-37.7819,144.8742
Mailors Flat,AU,-38.3,142.4667
Main Ridge,N/A,N/A,N/A
Maindample,AU,-37.0333,145.9333
Major Plains,N/A,N/A,N/A
Majorca,AU,-37.1167,143.8
Maldon,AU,-36.9833,144.0833
Mallacoota,AU,-37.55,149.75
Malmsbury,AU,-37.1833,144.3833
Malvern,AU,-37.8626,145.0281
Malvern East,AU,-37.874,145.0425
Mambourin,N/A,N/A,N/A
Manangatang,AU,-35.05,142.8833
Mandurang,AU,-36.8167,144.3
Mandurang South,AU,-36.85,144.2833
Mangalore,AU,-42.6539,147.2416
Manifold Heights,AU,-38.1374,144.3338
Manns Beach,N/A,N/A,N/A
Mansfield,AU,-37.05,146.0833
Marcus Hill,AU,-38.25,144.5667
Marengo,N/A,N/A,N/A
Maribyrnong,AU,-37.7833,144.8833
Markwood,AU,-36.4574,146.4984
Marlo,AU,-37.7833,148.5333
Marong,AU,-36.7333,144.1333
Maroona,AU,-37.4167,142.8667
Marraweeney,AU,-36.75,145.75
Marshall,N/A,N/A,N/A
Marungi,AU,-36.2,145.5167
Maryborough,AU,-25.5333,152.7
Marysville,AU,-37.5167,145.75
Maryvale,AU,-28.0667,152.2333
Matlock,N/A,N/A,N/A
McCrae,AU,-38.36,144.9339
McKenzie Creek,AU,-36.8,142.1833
McKenzie Hill,N/A,N/A,N/A
McKinnon,AU,-37.9106,145.0386
McLoughlins Beach,N/A,N/A,N/A
McMahons Creek,AU,-37.7167,145.8333
Mead,AU,-35.8094,144.1262
Meadow Heights,AU,-37.6512,144.9186
Meatian,N/A,N/A,N/A
Meeniyan,AU,-38.5833,146.0167
Meerlieu,AU,-38,147.4
Melbourne,AU,-37.814,144.9633
Melbourne Airport,AU,-37.6764,144.8365
Melton,AU,-37.6833,144.5833
Melton South,AU,-37.7077,144.5749
Melton West,AU,-37.6785,144.5688
Mentone,AU,-37.9833,145.0667
Menzies Creek,AU,-37.9167,145.4
Mepunga,N/A,N/A,N/A
Mepunga East,AU,-38.45,142.7333
Merbein,AU,-34.1833,142.0667
Merbein South,AU,-34.2333,142.0333
Merbein West,N/A,N/A,N/A
Meredith,AU,-37.85,144.0833
Meringur,N/A,N/A,N/A
Merino,AU,-37.7167,141.55
Mernda,AU,-37.6,145.1
Merriang,AU,-36.5548,146.6832
Merriang South,N/A,N/A,N/A
Merricks,AU,-38.3833,145.0833
Merricks North,AU,-38.35,145.0833
Merrigum,AU,-36.3667,145.15
Merrijig,AU,-37.1,146.25
Merrimu,AU,-37.6576,144.4535
Merton,AU,-36.9833,145.7167
Metcalfe,AU,-37.1,144.4333
Metung,AU,-37.8833,147.85
Mia Mia,AU,-36.9999,144.5715
Mickleham,AU,-37.5617,144.8773
Middle Creek,AU,-37.4,143.2333
Middle Park,AU,-27.5534,152.9212
Middle Tarwin,AU,-38.6667,145.9333
Miepoll,AU,-36.6167,145.4667
Milawa,AU,-36.4333,146.4333
Mildura,AU,-34.2,142.15
Mill Park,AU,-37.6641,145.0643
Millgrove,AU,-37.7667,145.65
Milnes Bridge,N/A,N/A,N/A
Miners Rest,AU,-37.4833,143.8
Minhamite,AU,-37.9833,142.35
Minimay,AU,-36.7122,141.1806
Minjah,AU,-38.0347,142.4416
Minyip,AU,-36.45,142.5833
Mirboo,AU,-38.4667,146.2
Mirboo North,AU,-38.4,146.15
Mitcham,AU,-34.9833,138.6
Mitchell Park,AU,-35.006,138.5616
Mitiamo,AU,-36.2167,144.2333
Mitre,AU,-36.7333,141.7833
Mittyack,N/A,N/A,N/A
Mockinya,AU,-36.9667,142.15
Modella,AU,-38.1833,145.7167
Modewarre,AU,-38.25,144.1333
Moe,AU,-38.1667,146.2667
Moe South,N/A,N/A,N/A
Molesworth,AU,-37.1667,145.5333
Moliagul,AU,-36.75,143.6667
Mollongghip,AU,-37.4833,144.0333
Monbulk,AU,-37.8833,145.4
Monegeetta,AU,-37.413,144.7474
Monomeith,AU,-38.2167,145.5167
Mont Albert,AU,-37.8175,145.1076
Mont Albert North,AU,-37.8004,145.1083
Montgomery,AU,-38.0333,147.0667
Montmorency,AU,-37.7167,145.1167
Montrose,AU,-37.8167,145.35
Moolap,AU,-38.1833,144.4333
Moolerr,N/A,N/A,N/A
Moolort,N/A,N/A,N/A
Moonambel,AU,-36.9833,143.3167
Moondarra,N/A,N/A,N/A
Moonee Ponds,AU,-37.7667,144.9167
Moorabbin,AU,-37.9367,145.0342
Moorabbin Airport,AU,-37.9775,145.0995
Moorabool,AU,-38.0833,144.3
Moorooduc,AU,-38.2167,145.1167
Mooroolbark,AU,-37.7813,145.3257
Mooroopna,AU,-36.4,145.35
Mooroopna North,AU,-36.3333,145.3
Moranding,N/A,N/A,N/A
Mordialloc,AU,-38,145.0833
Moriac,AU,-38.2333,144.1667
Mornington,AU,-38.2167,145.0333
Mortlake,AU,-38.0833,142.8167
Morwell,AU,-38.2333,146.4
Mossiface,AU,-37.7333,147.8167
Mount Alfred,N/A,N/A,N/A
Mount Beauty,AU,-36.75,147.1667
Mount Bruno,N/A,N/A,N/A
Mount Buller,N/A,N/A,N/A
Mount Burnett,AU,-37.9833,145.5
Mount Camel,AU,-36.7544,144.7631
Mount Clear,AU,-37.6,143.8833
Mount Cottrell,AU,-37.8167,144.5833
Mount Dandenong,AU,-37.8333,145.3667
Mount Doran,N/A,N/A,N/A
Mount Duneed,AU,-38.25,144.3333
Mount Egerton,AU,-37.6333,144.1
Mount Eliza,AU,-38.1833,145.0833
Mount Emu,N/A,N/A,N/A
Mount Evelyn,AU,-37.7833,145.3833
Mount Glasgow,N/A,N/A,N/A
Mount Helen,AU,-37.6205,143.89
Mount Macedon,AU,-37.3833,144.6
Mount Martha,AU,-38.2755,145.0308
Mount Mercer,AU,-37.8167,143.85
Mount Moriac,AU,-38.2167,144.1833
Mount Pleasant,AU,-34.7755,139.0479
Mount Richmond,AU,-38.1974,141.3571
Mount Rowan,N/A,N/A,N/A
Mount Taylor,AU,-37.7398,147.5972
Mount Wallace,AU,-37.75,144.2167
Mount Waverley,AU,-37.8771,145.1294
Moutajup,AU,-37.6667,142.2333
Moyhu,AU,-36.6,146.4
Moyreisk,N/A,N/A,N/A
Moyston,AU,-37.3,142.7667
Muckatah,AU,-36.015,145.6487
Muckleford,AU,-37.0167,144.15
Mudgegonga,N/A,N/A,N/A
Mulgrave,AU,-37.9167,145.2
Mumbannar,N/A,N/A,N/A
Munro,AU,-37.9167,147.1833
Murchison,AU,-36.6174,145.2166
Murchison East,AU,-36.6151,145.2404
Murchison North,N/A,N/A,N/A
Murphys Creek,AU,-27.4667,152.05
Murrabit,AU,-35.5286,143.9559
Murrabit West,N/A,N/A,N/A
Murrawee,N/A,N/A,N/A
Murraydale,N/A,N/A,N/A
Murrayville,AU,-35.2667,141.1833
Murrindal,N/A,N/A,N/A
Murrindindi,AU,-37.3667,145.5333
Murrumbeena,AU,-37.8902,145.0711
Murtoa,AU,-36.6,142.4833
Musk,N/A,N/A,N/A
Musk Vale,AU,-37.3833,144.1333
Myall,AU,-35.5833,143.9833
Myamyn,AU,-38,141.7333
Myers Flat,AU,-36.6833,144.2
Myrniong,AU,-37.6167,144.35
Myrtlebank,AU,-38.0645,147.0291
Myrtleford,AU,-36.55,146.7333
Mystic Park,AU,-35.5558,143.7238
Nagambie,AU,-36.7833,145.1667
Nalangil,AU,-38.3,143.45
Nalinga,N/A,N/A,N/A
Nambrok,AU,-38.05,146.8833
Nandaly,N/A,N/A,N/A
Nangana,N/A,N/A,N/A
Nangiloc,N/A,N/A,N/A
Nanneella,AU,-36.3167,144.7833
Napoleons,AU,-37.6667,143.8333
Nar Nar Goon,AU,-38.084,145.5753
Nar Nar Goon North,N/A,N/A,N/A
Narbethong,AU,-37.5475,145.6628
Nariel Valley,N/A,N/A,N/A
Naring,N/A,N/A,N/A
Naringal,AU,-38.4,142.7
Naringal East,N/A,N/A,N/A
Naroghid,AU,-38.2599,143.0575
Narracan,AU,-38.25,146.2333
Narrawong,AU,-38.25,141.7167
Narre Warren,AU,-38.0333,145.3
Narre Warren East,AU,-37.9627,145.3619
Narre Warren North,AU,-37.9833,145.3167
Narre Warren South,AU,-38.0544,145.3029
Nathalia,AU,-36.7167,145.2
Natimuk,AU,-36.75,141.95
Natya,AU,-34.9573,143.2271
Navarre,AU,-36.9,143.1
Nayook,AU,-37.9333,145.95
Neerim,AU,-37.9667,145.95
Neerim East,AU,-37.9833,146
Neerim Junction,N/A,N/A,N/A
Neerim South,AU,-38.0167,145.9667
Neilborough,AU,-36.5667,144.2333
Nelson,AU,-33.6478,150.9213
Nerrina,AU,-37.55,143.8833
New Gisborne,AU,-37.4607,144.5984
Newborough,AU,-38.183,146.2905
Newbridge,AU,-36.7333,143.9167
Newbury,AU,-37.4167,144.3167
Newcomb,N/A,N/A,N/A
Newhaven,AU,-38.5167,145.35
Newington,AU,-37.5641,143.8276
Newlands Arm,N/A,N/A,N/A
Newlyn,AU,-37.4121,143.9865
Newmerella,AU,-37.7333,148.45
Newport,AU,-33.6552,151.3213
Newry,N/A,N/A,N/A
Newstead,AU,-41.4333,147.1667
Newtown,AU,-33.8984,151.1775
Nhill,AU,-36.3333,141.6667
Nichols Point,N/A,N/A,N/A
Nicholson,AU,-37.8167,147.7333
Niddrie,AU,-37.7375,144.8921
Nilma,AU,-38.1833,145.9667
Nintingbool,AU,-37.6167,143.7167
Nirranda South,AU,-38.5294,142.795
Noble Park,AU,-37.9667,145.1667
Noble Park North,AU,-37.9513,145.1908
Noojee,AU,-37.9167,146
Noorat,AU,-38.2,142.95
Noorat East,N/A,N/A,N/A
Noorinbee,AU,-37.5167,149.1667
Noradjuha,N/A,N/A,N/A
Norlane,AU,-38.1014,144.3542
Normanville,AU,-35.4478,138.315
Norong,N/A,N/A,N/A
North Bendigo,AU,-36.7361,144.2772
North Geelong,AU,-38.1154,144.3508
North Melbourne,AU,-37.8029,144.9482
North Shore,AU,-31.4024,152.9019
North Wangaratta,N/A,N/A,N/A
North Warrandyte,AU,-37.7259,145.2155
North Wonthaggi,AU,-38.6,145.6
Northcote,AU,-37.7667,145
Northwood,AU,-36.9667,145.1167
Notting Hill,AU,-37.905,145.1427
Nowa Nowa,AU,-37.7167,148.1
Nug Nug,N/A,N/A,N/A
Nulla Vale,N/A,N/A,N/A
Nullawarre,AU,-38.4667,142.7667
Nullawarre North,N/A,N/A,N/A
Nullawil,AU,-35.85,143.1833
Numurkah,AU,-36.1,145.4333
Nunawading,AU,-37.8204,145.1731
Nungurner,AU,-37.8784,147.8887
Nunniong,N/A,N/A,N/A
Nutfield,AU,-37.6167,145.1833
Nyah,AU,-35.1667,143.3833
Nyah West,AU,-35.1833,143.35
Nyora,AU,-38.3333,145.6667
Nyrraby,N/A,N/A,N/A
Oak Park,AU,-37.7182,144.919
Oaklands Junction,N/A,N/A,N/A
Oakleigh,AU,-37.8981,145.0884
Oakleigh East,AU,-37.899,145.1057
Oakleigh South,AU,-37.9242,145.0915
Ocean Grove,AU,-38.2667,144.5333
Officer,AU,-38.0667,145.4167
Officer South,N/A,N/A,N/A
Olinda,AU,-37.85,145.3667
Ombersley,N/A,N/A,N/A
Omeo,AU,-37.1,147.6
Orbost,AU,-37.7,148.45
Ormond,AU,-37.904,145.0433
Orrvale,AU,-36.4167,145.45
Outtrim,AU,-38.4833,145.7667
Ouyen,AU,-35.0667,142.3167
Ovens,AU,-36.5833,146.7667
Oxley,AU,-27.55,152.9833
Paaratte,N/A,N/A,N/A
Pakenham,AU,-38.0667,145.4833
Pakenham South,AU,-38.1333,145.5167
Pakenham Upper,AU,-38.0167,145.5167
Panmure,AU,-38.3333,142.7333
Panton Hill,AU,-37.65,145.2333
Paradise,AU,-34.8736,138.669
Paradise Beach,AU,-38.1894,147.4241
Paraparap,N/A,N/A,N/A
Park Orchards,AU,-37.7769,145.2146
Parkdale,AU,-37.9942,145.0734
Parkville,AU,-37.7871,144.9516
Parwan,AU,-37.705,144.4699
Pascoe Vale,AU,-37.7251,144.938
Pascoe Vale South,AU,-37.7434,144.9385
Pastoria,AU,-37.2236,144.5252
Patchewollock,AU,-35.3833,142.2
Patho,AU,-36.0333,144.4333
Patterson Lakes,AU,-38.0694,145.1432
Paynesville,AU,-37.9167,147.7167
Pearcedale,AU,-38.2,145.25
Pearsondale,N/A,N/A,N/A
Pelluebla,N/A,N/A,N/A
Penshurst,AU,-33.9667,151.0833
Pental Island,N/A,N/A,N/A
Pentland Hills,AU,-37.6632,144.4085
Percydale,N/A,N/A,N/A
Peronne,AU,-36.7333,141.3833
Peterborough,AU,-32.9667,138.8333
Pheasant Creek,N/A,N/A,N/A
Piangil,AU,-35.05,143.3
Picola,AU,-36,145.1333
Pimpinio,AU,-36.5833,142.1167
Pine Grove,N/A,N/A,N/A
Pine Lodge,AU,-36.3546,145.532
Pioneer Bay,AU,-38.3808,145.5527
Pipers Creek,AU,-37.25,144.5333
Piries,AU,-37.2,146.1333
Pitfield,AU,-37.8,143.6
Pittong,N/A,N/A,N/A
Plenty,AU,-37.6674,145.1124
Plumpton,AU,-33.7567,150.8428
Point Cook,AU,-37.9148,144.7509
Point Leo,AU,-38.419,145.0753
Point Lonsdale,AU,-38.2833,144.6
Point Wilson,N/A,N/A,N/A
Pomborneit,AU,-38.3,143.3
Pomonal,AU,-37.2,142.6
Poowong,AU,-38.35,145.75
Poowong North,AU,-38.3,145.8
Porepunkah,AU,-36.7167,146.9333
Port Albert,AU,-38.6667,146.6833
Port Campbell,AU,-38.6167,142.9833
Port Fairy,AU,-38.3855,142.2367
Port Franklin,AU,-38.6833,146.2667
Port Melbourne,AU,-37.8396,144.9423
Port Welshpool,AU,-38.7,146.4667
Portarlington,N/A,N/A,N/A
Portland,AU,-38.3333,141.6
Portland North,N/A,N/A,N/A
Portland West,N/A,N/A,N/A
Portsea,N/A,N/A,N/A
Pound Creek,AU,-38.6333,145.8
Powelltown,AU,-37.8667,145.75
Prahran,AU,-37.8511,144.9932
Preston,AU,-37.75,145.0167
Princes Hill,AU,-37.7818,144.9666
Puckapunyal,AU,-37,144.9667
Purnim,AU,-38.2833,142.6333
Purnim West,AU,-38.2998,142.5601
Pyalong,AU,-37.1333,144.7667
Pyramid Hill,AU,-36.0667,144.1333
Quambatook,AU,-35.85,143.5333
Quandong,AU,-37.8389,144.5538
Quantong,N/A,N/A,N/A
Quarry Hill,AU,-36.7775,144.2804
Queenscliff,AU,-38.2667,144.65
Raglan,AU,-37.35,143.35
Rainbow,N/A,N/A,N/A
Ravenhall,AU,-37.7755,144.7366
Ravenswood,AU,-20.1,146.8833
Ravenswood South,N/A,N/A,N/A
Rawson,AU,-37.9568,146.3997
Raymond Island,N/A,N/A,N/A
Raywood,AU,-36.5333,144.2167
